"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
1888, 5.579999999999874e+00, 1.500000000000000e+01, -3.122244066498026e-01, -6.244488132996051e-01, -1.238330504848381e-05, 0.000000000000000e+00, 0.000000000000000e+00
1889, 5.609999999999874e+00, 1.500000000000000e+01, -3.116668247275072e-01, -6.233336494550143e-01, -1.258377065932910e-05, 0.000000000000000e+00, 0.000000000000000e+00
1890, 5.639999999999874e+00, 1.500000000000000e+01, -3.111943101368156e-01, -6.223886202736313e-01, -1.242445776180372e-05, 0.000000000000000e+00, 0.000000000000000e+00
1891, 5.669999999999875e+00, 1.500000000000000e+01, -3.108375197588616e-01, -6.216750395177232e-01, -1.232474502295550e-05, 0.000000000000000e+00, 0.000000000000000e+00
1892, 5.699999999999875e+00, 1.500000000000000e+01, -3.106603272744875e-01, -6.213206545489750e-01, -1.234993937126454e-05, 0.000000000000000e+00, 0.000000000000000e+00
1893, 5.729999999999875e+00, 1.500000000000000e+01, -3.107599868401225e-01, -6.215199736802450e-01, -1.225782005805490e-05, 0.000000000000000e+00, 0.000000000000000e+00
1894, 5.759999999999875e+00, 1.500000000000000e+01, -3.104677029162538e-01, -6.209354058325075e-01, -1.230729147261072e-05, 0.000000000000000e+00, 0.000000000000000e+00
1895, 5.789999999999876e+00, 1.500000000000000e+01, -3.102338819975703e-01, -6.204677639951407e-01, -1.251348799708233e-05, 0.000000000000000e+00, 0.000000000000000e+00
1896, 5.819999999999876e+00, 1.500000000000000e+01, -3.100439882523631e-01, -6.200879765047261e-01, -1.276324778064354e-05, 0.000000000000000e+00, 0.000000000000000e+00
1897, 5.849999999999876e+00, 1.500000000000000e+01, -3.096599019041024e-01, -6.193198038082048e-01, -1.268644310585077e-05, 0.000000000000000e+00, 0.000000000000000e+00
1898, 5.879999999999876e+00, 1.500000000000000e+01, -3.090995942774444e-01, -6.181991885548889e-01, -1.263803660844644e-05, 0.000000000000000e+00, 0.000000000000000e+00
1899, 5.909999999999877e+00, 1.500000000000000e+01, -3.085952894459552e-01, -6.171905788919103e-01, -1.233444420654228e-05, 0.000000000000000e+00, 0.000000000000000e+00
1900, 5.939999999999877e+00, 1.500000000000000e+01, -3.085295553943087e-01, -6.170591107886174e-01, -1.199953142742811e-05, 0.000000000000000e+00, 0.000000000000000e+00
1901, 5.969999999999877e+00, 1.500000000000000e+01, -3.086244284666572e-01, -6.172488569333143e-01, -1.194847396883341e-05, 0.000000000000000e+00, 0.000000000000000e+00
1902, 5.999999999999877e+00, 1.500000000000000e+01, -3.085099123936708e-01, -6.170198247873415e-01, -1.230950588503982e-05, 0.000000000000000e+00, 0.000000000000000e+00
1903, 6.029999999999878e+00, 1.500000000000000e+01, -3.082880485876049e-01, -6.165760971752098e-01, -1.245752072955357e-05, 0.000000000000000e+00, 0.000000000000000e+00
1904, 6.059999999999878e+00, 1.500000000000000e+01, -3.081053362664794e-01, -6.162106725329588e-01, -1.221299222502958e-05, 0.000000000000000e+00, 0.000000000000000e+00
1905, 6.089999999999878e+00, 1.500000000000000e+01, -3.079890019607508e-01, -6.159780039215016e-01, -1.240806785239280e-05, 0.000000000000000e+00, 0.000000000000000e+00
1906, 6.119999999999878e+00, 1.500000000000000e+01, -3.078264640358049e-01, -6.156529280716098e-01, -1.277767622557398e-05, 0.000000000000000e+00, 0.000000000000000e+00
1907, 6.149999999999879e+00, 1.500000000000000e+01, -3.071410388730446e-01, -6.142820777460892e-01, -1.286044774749740e-05, 0.000000000000000e+00, 0.000000000000000e+00
1908, 6.179999999999879e+00, 1.500000000000000e+01, -3.066240502213948e-01, -6.132481004427897e-01, -1.271221954092293e-05, 0.000000000000000e+00, 0.000000000000000e+00
1909, 6.209999999999879e+00, 1.500000000000000e+01, -3.062189533093026e-01, -6.124379066186052e-01, -1.245257637924319e-05, 0.000000000000000e+00, 0.000000000000000e+00
1910, 6.239999999999879e+00, 1.500000000000000e+01, -3.059387115207923e-01, -6.118774230415845e-01, -1.241045744291030e-05, 0.000000000000000e+00, 0.000000000000000e+00
1911, 6.269999999999880e+00, 1.500000000000000e+01, -3.054496052141229e-01, -6.108992104282458e-01, -1.271559513265578e-05, 0.000000000000000e+00, 0.000000000000000e+00
1912, 6.299999999999880e+00, 1.500000000000000e+01, -3.050062050802397e-01, -6.100124101604795e-01, -1.305346747420719e-05, 0.000000000000000e+00, 0.000000000000000e+00
1913, 6.329999999999880e+00, 1.500000000000000e+01, -3.046472935811391e-01, -6.092945871622781e-01, -1.314772469849676e-05, 0.000000000000000e+00, 0.000000000000000e+00
1914, 6.359999999999880e+00, 1.500000000000000e+01, -3.043099609491609e-01, -6.086199218983218e-01, -1.281647883143918e-05, 0.000000000000000e+00, 0.000000000000000e+00
1915, 6.389999999999881e+00, 1.500000000000000e+01, -3.042034852436439e-01, -6.084069704872878e-01, -1.287140659598999e-05, 0.000000000000000e+00, 0.000000000000000e+00
1916, 6.419999999999881e+00, 1.500000000000000e+01, -3.041322395079072e-01, -6.082644790158145e-01, -1.312573085613480e-05, 0.000000000000000e+00, 0.000000000000000e+00
1917, 6.449999999999881e+00, 1.500000000000000e+01, -3.035264075886588e-01, -6.070528151773176e-01, -1.313997144056586e-05, 0.000000000000000e+00, 0.000000000000000e+00
1918, 6.479999999999881e+00, 1.500000000000000e+01, -3.030440285315986e-01, -6.060880570631972e-01, -1.300383516833675e-05, 0.000000000000000e+00, 0.000000000000000e+00
1919, 6.509999999999882e+00, 1.500000000000000e+01, -3.026709381892951e-01, -6.053418763785903e-01, -1.276571363701292e-05, 0.000000000000000e+00, 0.000000000000000e+00
1920, 6.539999999999882e+00, 1.500000000000000e+01, -3.023931165683990e-01, -6.047862331367979e-01, -1.267556574065357e-05, 0.000000000000000e+00, 0.000000000000000e+00
1921, 6.569999999999882e+00, 1.500000000000000e+01, -3.021473871950611e-01, -6.042947743901221e-01, -1.274992688667722e-05, 0.000000000000000e+00, 0.000000000000000e+00
1922, 6.599999999999882e+00, 1.500000000000000e+01, -3.018953230256444e-01, -6.037906460512888e-01, -1.313895644403712e-05, 0.000000000000000e+00, 0.000000000000000e+00
1923, 6.629999999999883e+00, 1.500000000000000e+01, -3.015690686651556e-01, -6.031381373303112e-01, -1.340804542359903e-05, 0.000000000000000e+00, 0.000000000000000e+00
1924, 6.659999999999883e+00, 1.500000000000000e+01, -3.012945307932802e-01, -6.025890615865604e-01, -1.293325562808825e-05, 0.000000000000000e+00, 0.000000000000000e+00
1925, 6.689999999999883e+00, 1.500000000000000e+01, -3.012112667765156e-01, -6.024225335530311e-01, -1.249386758231765e-05, 0.000000000000000e+00, 0.000000000000000e+00
1926, 6.719999999999883e+00, 1.500000000000000e+01, -3.011198232478037e-01, -6.022396464956074e-01, -1.250127704852012e-05, 0.000000000000000e+00, 0.000000000000000e+00
1927, 6.749999999999884e+00, 1.500000000000000e+01, -3.007342855610485e-01, -6.014685711220971e-01, -1.287622629789544e-05, 0.000000000000000e+00, 0.000000000000000e+00
1928, 6.779999999999884e+00, 1.500000000000000e+01, -3.002713201388958e-01, -6.005426402777916e-01, -1.330293350840271e-05, 0.000000000000000e+00, 0.000000000000000e+00
1929, 6.809999999999884e+00, 1.500000000000000e+01, -2.997637095476234e-01, -5.995274190952469e-01, -1.374891527209168e-05, 0.000000000000000e+00, 0.000000000000000e+00
1930, 6.839999999999884e+00, 1.500000000000000e+01, -2.995181579643490e-01, -5.990363159286980e-01, -1.351139238444286e-05, 0.000000000000000e+00, 0.000000000000000e+00
1931, 6.869999999999885e+00, 1.500000000000000e+01, -2.992070286594252e-01, -5.984140573188503e-01, -1.328441303151846e-05, 0.000000000000000e+00, 0.000000000000000e+00
